# smlt_path=b11,gsimlt_path=b12_b22_b32,imt=SA,investigation_time=50.0,sa_period=2.0,sa_damping=5.0,lon=28.25,lat=36.85,poe=0.1,iml=0.1723835817
Mag,Dist,Eps,poe
6.875,45.0,2.0,0.0003839705245
6.875,55.0,-2.0,0.0
6.875,55.0,0.0,0.0
6.875,55.0,2.0,0.0001654815274
6.875,65.0,-2.0,0.0
6.875,65.0,0.0,0.0
6.875,65.0,2.0,0.0001495201659
6.875,75.0,-2.0,0.0
6.875,75.0,0.0,0.0
6.875,75.0,2.0,0.0001591508633
6.875,85.0,-2.0,0.0
6.875,85.0,0.0,0.0
6.875,85.0,2.0,0.0001597008113
6.875,95.0,-2.0,0.0
6.875,95.0,0.0,0.0
6.875,95.0,2.0,0.0001433674184
6.875,105.0,-2.0,0.0
6.875,105.0,0.0,0.0
6.875,105.0,2.0,0.0001293005374
6.875,115.0,-2.0,0.0
6.875,115.0,0.0,0.0
6.875,115.0,2.0,0.0001094034997
6.875,125.0,-2.0,0.0
6.875,125.0,0.0,0.0
6.875,125.0,2.0,8.778793443e-05
6.875,135.0,-2.0,0.0
6.875,135.0,0.0,0.0
6.875,135.0,2.0,7.797550266e-05
6.875,145.0,-2.0,0.0
6.875,145.0,0.0,0.0
6.875,145.0,2.0,6.497240507e-05
6.875,155.0,-2.0,0.0
6.875,155.0,0.0,0.0
6.875,155.0,2.0,5.595301312e-05
6.875,165.0,-2.0,0.0
6.875,165.0,0.0,0.0
6.875,165.0,2.0,4.125407432e-05
6.875,175.0,-2.0,0.0
6.875,175.0,0.0,0.0
6.875,175.0,2.0,3.949065046e-06
6.875,185.0,-2.0,0.0
6.875,185.0,0.0,0.0
6.875,185.0,2.0,1.891961343e-08
6.875,195.0,-2.0,0.0
6.875,195.0,0.0,0.0
6.875,195.0,2.0,4.431962919e-08
7.125,5.0,-2.0,0.0
7.125,5.0,0.0,0.0001118560823
7.125,5.0,2.0,4.114634214e-05
7.125,15.0,-2.0,0.0
7.125,15.0,0.0,2.921480544e-05
7.125,15.0,2.0,3.291720915e-05
7.125,25.0,-2.0,0.0
7.125,25.0,0.0,0.0002309477568
7.125,25.0,2.0,0.002310934346
7.125,35.0,-2.0,0.0
7.125,35.0,0.0,0.0
7.125,35.0,2.0,0.0003468016123
7.125,45.0,-2.0,0.0
7.125,45.0,0.0,0.0
7.125,45.0,2.0,0.001064507216
7.125,55.0,-2.0,0.0
7.125,55.0,0.0,0.0
7.125,55.0,2.0,0.0005360648823
7.125,65.0,-2.0,0.0
7.125,65.0,0.0,0.0
7.125,65.0,2.0,0.0005290745597
7.125,75.0,-2.0,0.0
7.125,75.0,0.0,0.0
7.125,75.0,2.0,0.0005329912348
7.125,85.0,-2.0,0.0
7.125,85.0,0.0,0.0
7.125,85.0,2.0,0.0005792425595
7.125,95.0,-2.0,0.0
7.125,95.0,0.0,0.0
7.125,95.0,2.0,0.0005277201809
7.125,105.0,-2.0,0.0
7.125,105.0,0.0,0.0
7.125,105.0,2.0,0.0004735775761
7.125,115.0,-2.0,0.0
7.125,115.0,0.0,0.0
7.125,115.0,2.0,0.0004783115892
7.125,125.0,-2.0,0.0
7.125,125.0,0.0,0.0
7.125,125.0,2.0,0.0003345853534
7.125,135.0,-2.0,0.0
7.125,135.0,0.0,0.0
7.125,135.0,2.0,0.000334565015
7.125,145.0,-2.0,0.0
7.125,145.0,0.0,0.0
7.125,145.0,2.0,0.0002694191952
7.125,155.0,-2.0,0.0
7.125,155.0,0.0,0.0
7.125,155.0,2.0,0.0002615582438
7.125,165.0,-2.0,0.0
7.125,165.0,0.0,0.0
7.125,165.0,2.0,0.0001511431945
7.125,175.0,-2.0,0.0
7.125,175.0,0.0,0.0
7.125,175.0,2.0,2.612628455e-05
7.125,185.0,-2.0,0.0
7.125,185.0,0.0,0.0
7.125,185.0,2.0,1.351547865e-05
7.125,195.0,-2.0,0.0
7.125,195.0,0.0,0.0
7.125,195.0,2.0,1.129488119e-05
7.375,5.0,-2.0,0.0
7.375,5.0,0.0,0.0
7.375,5.0,2.0,0.0
7.375,15.0,-2.0,0.0
7.375,15.0,0.0,0.0
7.375,15.0,2.0,0.0
7.375,25.0,-2.0,0.0
7.375,25.0,0.0,0.0004881202368
7.375,25.0,2.0,0.0008265951959
7.375,35.0,-2.0,0.0
7.375,35.0,0.0,0.0
7.375,35.0,2.0,0.000516107425
7.375,45.0,-2.0,0.0
7.375,45.0,0.0,0.0
7.375,45.0,2.0,0.0008300187792
7.375,55.0,-2.0,0.0
7.375,55.0,0.0,0.0
7.375,55.0,2.0,0.000473486261
7.375,65.0,-2.0,0.0
7.375,65.0,0.0,0.0
7.375,65.0,2.0,0.0005311451618
7.375,75.0,-2.0,0.0
7.375,75.0,0.0,0.0
7.375,75.0,2.0,0.0005612854176
7.375,85.0,-2.0,0.0
7.375,85.0,0.0,0.0
7.375,85.0,2.0,0.0006171862526
7.375,95.0,-2.0,0.0
7.375,95.0,0.0,0.0
7.375,95.0,2.0,0.0005876104633
7.375,105.0,-2.0,0.0
7.375,105.0,0.0,0.0
7.375,105.0,2.0,0.0005400293831
7.375,115.0,-2.0,0.0
7.375,115.0,0.0,0.0
7.375,115.0,2.0,0.0005962633714
7.375,125.0,-2.0,0.0
7.375,125.0,0.0,0.0
7.375,125.0,2.0,0.0004023907095
7.375,135.0,-2.0,0.0
7.375,135.0,0.0,0.0
7.375,135.0,2.0,0.0004382364289
7.375,145.0,-2.0,0.0
7.375,145.0,0.0,0.0
7.375,145.0,2.0,0.0003411583259
7.375,155.0,-2.0,0.0
7.375,155.0,0.0,0.0
7.375,155.0,2.0,0.000366943659
7.375,165.0,-2.0,0.0
7.375,165.0,0.0,0.0
7.375,165.0,2.0,0.0001249699996
7.375,175.0,-2.0,0.0
